 # PROCESS #
 # Power Reactor Optimisation Code #
 # PROCESS #
 # Power Reactor Optimisation Code #
 PROCESS_version_number__________________________________________________ (procver)_____________________     "1.0.16   "
 Date_of_run_____________________________________________________________ (date)________________________     "21/01/2020"
 Time_of_run_____________________________________________________________ (time)________________________     "15:41"
 User____________________________________________________________________ (username)____________________     "morrisj" 
 PROCESS_run_title_______________________________________________________ (runtitle)____________________     "baseline 2019 qh-mode                                                                              
 PROCESS_tag_number______________________________________________________ (tagno)_______________________     "1.0.16-295-gc0b5505a"                                                                              
 PROCESS_git_branch_name_________________________________________________ (branch_name)_________________     "develop"                                                                                           
 PROCESS_last_commit_message_____________________________________________ (commsg)______________________     "Merge branch 'issue-848-vforce' into 'develop',"                                                   
 Input_filename__________________________________________________________ (fileprefix)__________________     "baseline_2019_IN.DAT                              "
 # Numerics #
 VMCON_error_flag________________________________________________________ (ifail)_______________________              1    
 # PROCESS found a feasible solution #
 Number_of_iteration_variables___________________________________________ (nvar)________________________             27    
 Number_of_constraints_(total)___________________________________________ (neqns+nineqns)_______________             17    
 Optimisation_switch_____________________________________________________ (ioptimz)_____________________              1    
 Figure_of_merit_switch__________________________________________________ (minmax)______________________            -17    
 Square_root_of_the_sum_of_squares_of_the_constraint_residuals___________ (sqsumsq)_____________________      2.7800E-08 OP 
 VMCON_convergence_parameter_____________________________________________ (convergence_parameter)_______      2.6459E-12 OP 
 Number_of_VMCON_iterations______________________________________________ (nviter)______________________             14 OP 
 bt______________________________________________________________________ (itvar001)____________________      5.7190E+00    
 bt_(final_value/initial_value)__________________________________________ (xcm001)______________________      9.9569E-01    
 bt_(range_normalised)___________________________________________________ (nitvar001)___________________      1.9036E-01    
 fwalld__________________________________________________________________ (itvar002)____________________      1.0000E+00    
 fwalld_(final_value/initial_value)______________________________________ (xcm002)______________________      1.0000E+00    
 fwalld_(range_normalised)_______________________________________________ (nitvar002)___________________      1.0000E+00    
 q_______________________________________________________________________ (itvar003)____________________      3.9219E+00    
 q_(final_value/initial_value)___________________________________________ (xcm003)______________________      9.9586E-01    
 q_(range_normalised)____________________________________________________ (nitvar003)___________________      9.0728E-03    
 ftburn__________________________________________________________________ (itvar004)____________________      8.8555E-01    
 ftburn_(final_value/initial_value)______________________________________ (xcm004)______________________      9.7759E-01    
 ftburn_(range_normalised)_______________________________________________ (nitvar004)___________________      8.8544E-01    
 bore____________________________________________________________________ (itvar005)____________________      2.0682E+00    
 bore_(final_value/initial_value)________________________________________ (xcm005)______________________      9.9999E-01    
 bore_(range_normalised)_________________________________________________ (nitvar005)___________________      1.9881E-01    
 coheof__________________________________________________________________ (itvar006)____________________      1.6907E+07    
 coheof_(final_value/initial_value)______________________________________ (xcm006)______________________      9.9985E-01    
 coheof_(range_normalised)_______________________________________________ (nitvar006)___________________      1.6824E-01    
 fjohc___________________________________________________________________ (itvar007)____________________      4.1618E-01    
 fjohc_(final_value/initial_value)_______________________________________ (xcm007)______________________      1.0030E+00    
 fjohc_(range_normalised)________________________________________________ (nitvar007)___________________      4.1029E-01    
 fjohc0__________________________________________________________________ (itvar008)____________________      5.5558E-01    
 fjohc0_(final_value/initial_value)______________________________________ (xcm008)______________________      1.0000E+00    
 fjohc0_(range_normalised)_______________________________________________ (nitvar008)___________________      5.5514E-01    
 fcohbop_________________________________________________________________ (itvar009)____________________      1.0000E+00    
 fcohbop_(final_value/initial_value)_____________________________________ (xcm009)______________________      1.0000E+00    
 fcohbop_(range_normalised)______________________________________________ (nitvar009)___________________      1.0000E+00    
 fiooic__________________________________________________________________ (itvar010)____________________      5.9669E-01    
 fiooic_(final_value/initial_value)______________________________________ (xcm010)______________________      1.0016E+00    
 fiooic_(range_normalised)_______________________________________________ (nitvar010)___________________      5.9629E-01    
 fvdump__________________________________________________________________ (itvar011)____________________      6.1084E-01    
 fvdump_(final_value/initial_value)______________________________________ (xcm011)______________________      9.9649E-01    
 fvdump_(range_normalised)_______________________________________________ (nitvar011)___________________      6.1045E-01    
 vdalw___________________________________________________________________ (itvar012)____________________      6.1084E+00    
 vdalw_(final_value/initial_value)_______________________________________ (xcm012)______________________      9.9649E-01    
 vdalw_(range_normalised)________________________________________________ (nitvar012)___________________      6.1080E-01    
 fjprot__________________________________________________________________ (itvar013)____________________      1.0000E+00    
 fjprot_(final_value/initial_value)______________________________________ (xcm013)______________________      1.0000E+00    
 fjprot_(range_normalised)_______________________________________________ (nitvar013)___________________      1.0000E+00    
 tdmptf__________________________________________________________________ (itvar014)____________________      7.6457E+01    
 tdmptf_(final_value/initial_value)______________________________________ (xcm014)______________________      1.0302E+00    
 tdmptf_(range_normalised)_______________________________________________ (nitvar014)___________________      7.6434E-01    
 thkcas__________________________________________________________________ (itvar015)____________________      4.0000E-01    
 thkcas_(final_value/initial_value)______________________________________ (xcm015)______________________      1.0000E+00    
 thkcas_(range_normalised)_______________________________________________ (nitvar015)___________________      0.0000E+00    
 thwcndut________________________________________________________________ (itvar016)____________________      8.0000E-03    
 thwcndut_(final_value/initial_value)____________________________________ (xcm016)______________________      1.0000E+00    
 thwcndut_(range_normalised)_____________________________________________ (nitvar016)___________________      0.0000E+00    
 fcutfsu_________________________________________________________________ (itvar017)____________________      8.5078E-01    
 fcutfsu_(final_value/initial_value)_____________________________________ (xcm017)______________________      1.0036E+00    
 fcutfsu_(range_normalised)______________________________________________ (nitvar017)___________________      7.9724E-01    
 cpttf___________________________________________________________________ (itvar018)____________________      8.0216E+04    
 cpttf_(final_value/initial_value)_______________________________________ (xcm018)______________________      1.0000E+00    
